,var.features,ID
ENSG00000251471,NA,ENSG00000251471
CLSTN2,CLSTN2,ENSG00000158258
SLC25A36,NA,ENSG00000114120
SPSB4,NA,ENSG00000175093
PXYLP1,NA,ENSG00000155893
ENSG00000249417,NA,ENSG00000249417
ZBTB38,NA,ENSG00000177311
RASA2,NA,ENSG00000155903
RNF7,NA,ENSG00000114125
GRK7,NA,ENSG00000114124
ATP1B3,NA,ENSG00000069849
TFDP2,NA,ENSG00000114126
GK5,NA,ENSG00000175066
XRN1,NA,ENSG00000114127
ATR,NA,ENSG00000175054
PLS1,NA,ENSG00000120756
ENSG00000287045,NA,ENSG00000287045
TRPC1,NA,ENSG00000144935
PCOLCE2,NA,ENSG00000163710
PAQR9,NA,ENSG00000188582
PAQR9-AS1,NA,ENSG00000241570
U2SURP,NA,ENSG00000163714
ENSG00000241679,NA,ENSG00000241679
SLC9A9,NA,ENSG00000181804
SLC9A9-AS1,NA,ENSG00000240012
DIPK2A,NA,ENSG00000181744
ENSG00000289986,NA,ENSG00000289986
PLOD2,NA,ENSG00000152952
PLSCR4,NA,ENSG00000114698
PLSCR2,NA,ENSG00000163746
PLSCR1,NA,ENSG00000188313
ENSG00000243620,ENSG00000243620,ENSG00000243620
ZIC4,NA,ENSG00000174963
ZIC1,NA,ENSG00000152977
ENSG00000239922,NA,ENSG00000239922
ENSG00000285798,NA,ENSG00000285798
AGTR1,NA,ENSG00000144891
ENSG00000240521,NA,ENSG00000240521
GYG1,NA,ENSG00000163754
HLTF,NA,ENSG00000071794
HPS3,NA,ENSG00000163755
CP,NA,ENSG00000047457
TM4SF18,NA,ENSG00000163762
TM4SF1,NA,ENSG00000169908
WWTR1,NA,ENSG00000018408
COMMD2,NA,ENSG00000114744
ANKUB1,NA,ENSG00000206199
RNF13,NA,ENSG00000082996
PFN2,NA,ENSG00000070087
ENSG00000243944,ENSG00000243944,ENSG00000243944
TSC22D2,NA,ENSG00000196428
SERP1,NA,ENSG00000120742
EIF2A,NA,ENSG00000144895
SELENOT,NA,ENSG00000198843
ERICH6,NA,ENSG00000163645
ERICH6-AS1,NA,ENSG00000240137
SIAH2,NA,ENSG00000181788
SIAH2-AS1,NA,ENSG00000244265
MED12L,MED12L,ENSG00000144893
P2RY14,P2RY14,ENSG00000174944
P2RY13,NA,ENSG00000181631
P2RY12,P2RY12,ENSG00000169313
IGSF10,NA,ENSG00000152580
AADACL2-AS1,NA,ENSG00000242908
LINC02917,NA,ENSG00000239941
ENSG00000289315,NA,ENSG00000289315
MBNL1,NA,ENSG00000152601
ENSG00000243305,NA,ENSG00000243305
ENSG00000287706,NA,ENSG00000287706
P2RY1,NA,ENSG00000169860
RAP2B,NA,ENSG00000181467
LINC02006,NA,ENSG00000238755
LINC02877,NA,ENSG00000237787
ARHGEF26-AS1,NA,ENSG00000243069
ARHGEF26,NA,ENSG00000114790
DHX36,NA,ENSG00000174953
GPR149,GPR149,ENSG00000174948
MME,NA,ENSG00000196549
PLCH1,NA,ENSG00000114805
C3orf33,NA,ENSG00000174928
SLC33A1,NA,ENSG00000169359
GMPS,NA,ENSG00000163655
ENSG00000288032,NA,ENSG00000288032
KCNAB1,NA,ENSG00000169282
SSR3,NA,ENSG00000114850
TIPARP,NA,ENSG00000163659
LINC00886,NA,ENSG00000240875
LEKR1,NA,ENSG00000197980
LINC00880,LINC00880,ENSG00000243629
CCNL1,NA,ENSG00000163660
ENSG00000243176,NA,ENSG00000243176
VEPH1,NA,ENSG00000197415
ENSG00000242536,NA,ENSG00000242536
RSRC1,NA,ENSG00000174891
MLF1,NA,ENSG00000178053
GFM1,NA,ENSG00000168827
LXN,NA,ENSG00000079257
RARRES1,RARRES1,ENSG00000118849
MFSD1,NA,ENSG00000118855
ENSG00000240207,NA,ENSG00000240207
IQCJ,NA,ENSG00000214216
SCHIP1,NA,ENSG00000151967
IL12A-AS1,NA,ENSG00000244040
IL12A,NA,ENSG00000168811
IFT80,NA,ENSG00000068885
SMC4,NA,ENSG00000113810
TRIM59,NA,ENSG00000213186
KPNA4,NA,ENSG00000186432
PPM1L-DT,NA,ENSG00000260572
PPM1L,NA,ENSG00000163590
B3GALNT1,NA,ENSG00000169255
NMD3,NA,ENSG00000169251
SPTSSB,NA,ENSG00000196542
ENSG00000240792,NA,ENSG00000240792
ENSG00000289884,NA,ENSG00000289884
SLITRK3,NA,ENSG00000121871
LINC01322,LINC01322,ENSG00000244128
BCHE,NA,ENSG00000114200
ZBBX,ZBBX,ENSG00000169064
SERPINI2,NA,ENSG00000114204
WDR49,WDR49,ENSG00000174776
PDCD10,NA,ENSG00000114209
SERPINI1,NA,ENSG00000163536
GOLIM4,NA,ENSG00000173905
LINC02082,NA,ENSG00000242268
MECOM,MECOM,ENSG00000085276
TERC,NA,ENSG00000270141
MYNN,NA,ENSG00000085274
LRRC34,NA,ENSG00000171757
LRRIQ4,NA,ENSG00000188306
SEC62,NA,ENSG00000008952
GPR160,NA,ENSG00000173890
PHC3,NA,ENSG00000173889
PRKCI,NA,ENSG00000163558
SKIL,NA,ENSG00000136603
CLDN11,NA,ENSG00000013297
SLC7A14-AS1,SLC7A14-AS1,ENSG00000285051
SLC7A14,NA,ENSG00000013293
ENSG00000286695,NA,ENSG00000286695
EIF5A2,NA,ENSG00000163577
ENSG00000286856,NA,ENSG00000286856
TNIK,TNIK,ENSG00000154310
PLD1,NA,ENSG00000075651
TMEM212-AS1,NA,ENSG00000234717
TMEM212,NA,ENSG00000186329
ENSG00000287899,NA,ENSG00000287899
FNDC3B,NA,ENSG00000075420
TNFSF10,NA,ENSG00000121858
NCEH1,NA,ENSG00000144959
ECT2,NA,ENSG00000114346
SPATA16,NA,ENSG00000144962
ENSG00000237473,NA,ENSG00000237473
NLGN1,NLGN1,ENSG00000169760
ENSG00000289417,NA,ENSG00000289417
NAALADL2,NA,ENSG00000177694
LINC01208,LINC01208,ENSG00000223715
TBL1XR1,NA,ENSG00000177565
LINC00501,NA,ENSG00000203645
ENSG00000226782,NA,ENSG00000226782
LINC00578,NA,ENSG00000228221
LINC02015,NA,ENSG00000231574
ENSG00000223930,ENSG00000223930,ENSG00000223930
KCNMB2,KCNMB2,ENSG00000197584
KCNMB2-AS1,NA,ENSG00000237978
ZMAT3,NA,ENSG00000172667
PIK3CA-DT,NA,ENSG00000229102
PIK3CA,NA,ENSG00000121879
KCNMB3,NA,ENSG00000171121
ZNF639,NA,ENSG00000121864
MFN1,NA,ENSG00000171109
ENSG00000289574,NA,ENSG00000289574
GNB4,NA,ENSG00000114450
ACTL6A,NA,ENSG00000136518
MRPL47,NA,ENSG00000136522
NDUFB5,NA,ENSG00000136521
USP13,NA,ENSG00000058056
PEX5L,PEX5L,ENSG00000114757
ENSG00000287645,NA,ENSG00000287645
TTC14-DT,NA,ENSG00000239774
TTC14,NA,ENSG00000163728
CCDC39,NA,ENSG00000284862
ENSG00000285336,NA,ENSG00000285336
FXR1,NA,ENSG00000114416
DNAJC19,NA,ENSG00000205981
SOX2-OT,NA,ENSG00000242808
ENSG00000241231,NA,ENSG00000241231
ENSG00000239381,NA,ENSG00000239381
SOX2,NA,ENSG00000181449
LINC01206,NA,ENSG00000242512
ATP11B,NA,ENSG00000058063
DCUN1D1,NA,ENSG00000043093
MCCC1,NA,ENSG00000078070
MCF2L2,NA,ENSG00000053524
B3GNT5,NA,ENSG00000176597
LINC00888,NA,ENSG00000291106
KLHL6,NA,ENSG00000172578
KLHL24,NA,ENSG00000114796
YEATS2,NA,ENSG00000163872
MAP6D1,NA,ENSG00000180834
PARL,NA,ENSG00000175193
ABCC5,NA,ENSG00000114770
EIF2B5,NA,ENSG00000145191
DVL3,NA,ENSG00000161202
AP2M1,NA,ENSG00000161203
ABCF3,NA,ENSG00000161204
VWA5B2,NA,ENSG00000145198
ALG3,NA,ENSG00000214160
ECE2,NA,ENSG00000145194
PSMD2,NA,ENSG00000175166
EIF4G1,NA,ENSG00000114867
FAM131A,NA,ENSG00000175182
CLCN2,NA,ENSG00000114859
POLR2H,NA,ENSG00000163882
THPO,NA,ENSG00000090534
CHRD,NA,ENSG00000090539
LINC02054,NA,ENSG00000224153
EPHB3,NA,ENSG00000182580
MAGEF1,NA,ENSG00000177383
ENSG00000272970,NA,ENSG00000272970
VPS8,NA,ENSG00000156931
C3orf70,NA,ENSG00000187068
EHHADH,NA,ENSG00000113790
MAP3K13,NA,ENSG00000073803
TMEM41A,NA,ENSG00000163900
ENSG00000286086,NA,ENSG00000286086
LIPH,NA,ENSG00000163898
SENP2,NA,ENSG00000163904
IGF2BP2,NA,ENSG00000073792
TRA2B,NA,ENSG00000136527
NMRAL2P,NA,ENSG00000290862
ETV5,NA,ENSG00000244405
DGKG,NA,ENSG00000058866
LINC02020,NA,ENSG00000234548
CRYGS,NA,ENSG00000213139
TBCCD1,NA,ENSG00000113838
DNAJB11,NA,ENSG00000090520
HRG-AS1,NA,ENSG00000197099
KNG1,NA,ENSG00000113889
EIF4A2,NA,ENSG00000156976
RFC4,NA,ENSG00000163918
LINC02043,NA,ENSG00000232233
ENSG00000289971,NA,ENSG00000289971
ST6GAL1,NA,ENSG00000073849
RPL39L,NA,ENSG00000163923
MASP1,NA,ENSG00000127241
ENSG00000283175,NA,ENSG00000283175
BCL6,NA,ENSG00000113916
ENSG00000290021,NA,ENSG00000290021
LPP-AS2,NA,ENSG00000270959
LPP,NA,ENSG00000145012
TPRG1,NA,ENSG00000188001
TP63,NA,ENSG00000073282
P3H2,NA,ENSG00000090530
P3H2-AS1,NA,ENSG00000225764
CLDN1,NA,ENSG00000163347
CLDN16,NA,ENSG00000113946
IL1RAP,NA,ENSG00000196083
UTS2B,NA,ENSG00000188958
CCDC50,NA,ENSG00000152492
PYDC2-AS1,PYDC2-AS1,ENSG00000223812
FGF12,FGF12,ENSG00000114279
MB21D2,NA,ENSG00000180611
PLAAT1,NA,ENSG00000127252
ATP13A5,NA,ENSG00000187527
ATP13A4,NA,ENSG00000127249
OPA1,NA,ENSG00000198836
LINC02028,NA,ENSG00000230102
HES1,NA,ENSG00000114315
LINC00887,NA,ENSG00000214145
ATP13A3,NA,ENSG00000133657
ATP13A3-DT,NA,ENSG00000233058
TMEM44-AS1,NA,ENSG00000231770
TMEM44,NA,ENSG00000145014
LSG1,NA,ENSG00000041802
FAM43A,NA,ENSG00000185112
LINC01972,NA,ENSG00000230401
XXYLT1,NA,ENSG00000173950
ACAP2,NA,ENSG00000114331
ACAP2-IT1,NA,ENSG00000229325
PPP1R2,NA,ENSG00000184203
APOD,APOD,ENSG00000189058
ENSG00000289929,NA,ENSG00000289929
MUC20,NA,ENSG00000176945
MUC4,NA,ENSG00000145113
LINC01983,NA,ENSG00000223783
TNK2,NA,ENSG00000061938
ENSG00000290762,NA,ENSG00000290762
SDHAP1,NA,ENSG00000290763
TFRC,NA,ENSG00000072274
ZDHHC19,NA,ENSG00000163958
SLC51A,NA,ENSG00000163959
PCYT1A,NA,ENSG00000161217
DYNLT2B,NA,ENSG00000213123
TM4SF19-AS1,NA,ENSG00000235897
UBXN7,NA,ENSG00000163960
UBXN7-AS1,NA,ENSG00000225822
RNF168,NA,ENSG00000163961
WDR53,NA,ENSG00000185798
FBXO45,NA,ENSG00000174013
NRROS,NA,ENSG00000174004
PIGX,NA,ENSG00000163964
CEP19,NA,ENSG00000174007
PAK2,NA,ENSG00000180370
SENP5,NA,ENSG00000119231
ENSG00000230732,NA,ENSG00000230732
NCBP2,NA,ENSG00000114503
PIGZ,NA,ENSG00000119227
MELTF,NA,ENSG00000163975
MELTF-AS1,NA,ENSG00000228109
DLG1,NA,ENSG00000075711
ENSG00000289396,NA,ENSG00000289396
ENSG00000289828,NA,ENSG00000289828
BDH1,NA,ENSG00000161267
SDHAP4,NA,ENSG00000291091
RUBCN,NA,ENSG00000145016
FYTTD1,NA,ENSG00000122068
LRCH3,NA,ENSG00000186001
IQCG,NA,ENSG00000114473
RPL35A,RPL35A,ENSG00000182899
LMLN,NA,ENSG00000185621
ENSG00000286755,NA,ENSG00000286755
ANKRD18DP,NA,ENSG00000291192
ENSG00000290937,NA,ENSG00000290937
ZNF595,NA,ENSG00000272602
ENSG00000289361,NA,ENSG00000289361
ZNF718,NA,ENSG00000250312
ZNF876P,NA,ENSG00000290382
ZNF732,NA,ENSG00000186777
ENSG00000286705,NA,ENSG00000286705
ZNF141,NA,ENSG00000131127
ENSG00000281016,NA,ENSG00000281016
ZNF721,NA,ENSG00000182903
PIGG,NA,ENSG00000174227
TMEM271,NA,ENSG00000273238
ENSG00000283183,NA,ENSG00000283183
PDE6B,NA,ENSG00000133256
ENSG00000272927,NA,ENSG00000272927
ATP5ME,NA,ENSG00000169020
MYL5,NA,ENSG00000215375
SLC49A3,NA,ENSG00000169026
PCGF3,NA,ENSG00000185619
ENSG00000272588,NA,ENSG00000272588
PCGF3-AS1,NA,ENSG00000249592
CPLX1,NA,ENSG00000168993
GAK,NA,ENSG00000178950
TMEM175,NA,ENSG00000127419
DGKQ,NA,ENSG00000145214
IDUA,NA,ENSG00000127415
FGFRL1,NA,ENSG00000127418
RNF212,NA,ENSG00000178222
ENSG00000251652,NA,ENSG00000251652
SPON2,NA,ENSG00000159674
CTBP1-AS,NA,ENSG00000280927
CTBP1,NA,ENSG00000159692
CTBP1-DT,NA,ENSG00000196810
MAEA,NA,ENSG00000090316
UVSSA,NA,ENSG00000163945
FAM53A,NA,ENSG00000174137
SLBP,NA,ENSG00000163950
TACC3,NA,ENSG00000013810
TMEM129,NA,ENSG00000168936
FGFR3,NA,ENSG00000068078
LETM1,NA,ENSG00000168924
NSD2,NA,ENSG00000109685
NELFA,NA,ENSG00000185049
C4orf48,NA,ENSG00000243449
NAT8L,NA,ENSG00000185818
POLN,NA,ENSG00000130997
HAUS3,NA,ENSG00000214367
MXD4,NA,ENSG00000123933
ZFYVE28,NA,ENSG00000159733
CFAP99,NA,ENSG00000206113
RNF4,NA,ENSG00000063978
FAM193A,NA,ENSG00000125386
TNIP2,NA,ENSG00000168884
SH3BP2,NA,ENSG00000087266
ADD1,NA,ENSG00000087274
MFSD10,NA,ENSG00000109736
NOP14-AS1,NA,ENSG00000249673
NOP14,NA,ENSG00000087269
GRK4,NA,ENSG00000125388
HTT,NA,ENSG00000197386
HTT-AS,NA,ENSG00000251075
MSANTD1,NA,ENSG00000188981
RGS12,NA,ENSG00000159788
LRPAP1,NA,ENSG00000163956
FAM86EP,NA,ENSG00000290374
ENSG00000290888,NA,ENSG00000290888
TMEM128,NA,ENSG00000132406
LYAR,NA,ENSG00000145220
ZBTB49,NA,ENSG00000168826
NSG1,NA,ENSG00000168824
STX18,NA,ENSG00000168818
STX18-AS1,NA,ENSG00000247708
MSX1,NA,ENSG00000163132
STK32B,NA,ENSG00000152953
EVC2,NA,ENSG00000173040
EVC,NA,ENSG00000072840
CRMP1,NA,ENSG00000072832
C4orf50,C4orf50,ENSG00000181215
JAKMIP1,NA,ENSG00000152969
ENSG00000290803,NA,ENSG00000290803
WFS1,NA,ENSG00000109501
ENSG00000286176,NA,ENSG00000286176
PPP2R2C,NA,ENSG00000074211
MAN2B2,NA,ENSG00000013288
MRFAP1,NA,ENSG00000179010
LINC02482,NA,ENSG00000251580
ENSG00000170846,NA,ENSG00000170846
MRFAP1L1,NA,ENSG00000178988
KIAA0232,NA,ENSG00000170871
TBC1D14,NA,ENSG00000132405
ENSG00000287104,NA,ENSG00000287104
TADA2B,NA,ENSG00000173011
GRPEL1,NA,ENSG00000109519
SORCS2,NA,ENSG00000184985
AFAP1-AS1,NA,ENSG00000272620
AFAP1,NA,ENSG00000196526
ABLIM2,ABLIM2,ENSG00000163995
SH3TC1,NA,ENSG00000125089
HTRA3,NA,ENSG00000170801
ENSG00000251615,NA,ENSG00000251615
ACOX3,NA,ENSG00000087008
TRMT44,NA,ENSG00000155275
ENSG00000205959,NA,ENSG00000205959
HMX1,NA,ENSG00000215612
ENSG00000288075,NA,ENSG00000288075
ENSG00000287972,NA,ENSG00000287972
ENSG00000287117,NA,ENSG00000287117
SLC2A9,NA,ENSG00000109667
WDR1,NA,ENSG00000071127
ZNF518B,NA,ENSG00000178163
CLNK,NA,ENSG00000109684
HS3ST1,NA,ENSG00000002587
ENSG00000287778,NA,ENSG00000287778
ENSG00000249631,NA,ENSG00000249631
RAB28,NA,ENSG00000157869
BOD1L1,NA,ENSG00000038219
LINC01182,NA,ENSG00000250634
ENSG00000249988,NA,ENSG00000249988
ENSG00000287360,NA,ENSG00000287360
LINC00504,NA,ENSG00000248360
CPEB2-DT,NA,ENSG00000247624
CPEB2,NA,ENSG00000137449
C1QTNF7-AS1,NA,ENSG00000249252
C1QTNF7,NA,ENSG00000163145
CC2D2A,NA,ENSG00000048342
FBXL5,NA,ENSG00000118564
FAM200B,NA,ENSG00000237765
CD38,NA,ENSG00000004468
PROM1,NA,ENSG00000007062
TAPT1,NA,ENSG00000169762
TAPT1-AS1,NA,ENSG00000263327
ENSG00000248138,NA,ENSG00000248138
LDB2,LDB2,ENSG00000169744
ENSG00000249998,NA,ENSG00000249998
QDPR,NA,ENSG00000151552
LAP3,NA,ENSG00000002549
MED28-DT,NA,ENSG00000249502
MED28,NA,ENSG00000118579
FAM184B,NA,ENSG00000047662
DCAF16,NA,ENSG00000163257
LCORL,NA,ENSG00000178177
LINC02438,NA,ENSG00000248238
ENSG00000248515,NA,ENSG00000248515
SLIT2,SLIT2,ENSG00000145147
PACRGL,NA,ENSG00000163138
KCNIP4,KCNIP4,ENSG00000185774
ENSG00000250243,NA,ENSG00000250243
ENSG00000286318,NA,ENSG00000286318
KCNIP4-IT1,NA,ENSG00000280650
ENSG00000250039,NA,ENSG00000250039
ADGRA3,NA,ENSG00000152990
GBA3,NA,ENSG00000249948
ENSG00000248837,NA,ENSG00000248837
ENSG00000250137,ENSG00000250137,ENSG00000250137
PPARGC1A,NA,ENSG00000109819
ENSG00000289201,NA,ENSG00000289201
DHX15,NA,ENSG00000109606
SOD3,NA,ENSG00000109610
CCDC149,NA,ENSG00000181982
LGI2,NA,ENSG00000153012
SEPSECS,NA,ENSG00000109618
SEPSECS-AS1,NA,ENSG00000281501
PI4K2B,NA,ENSG00000038210
ZCCHC4,NA,ENSG00000168228
ANAPC4,NA,ENSG00000053900
ENSG00000248545,NA,ENSG00000248545
SEL1L3,NA,ENSG00000091490
SMIM20,NA,ENSG00000250317
RBPJ,NA,ENSG00000168214
TBC1D19,NA,ENSG00000109680
STIM2,NA,ENSG00000109689
LINC02261,NA,ENSG00000249699
ENSG00000287389,NA,ENSG00000287389
ENSG00000251410,NA,ENSG00000251410
ENSG00000250064,NA,ENSG00000250064
PCDH7,NA,ENSG00000169851
ARAP2,NA,ENSG00000047365
DTHD1,DTHD1,ENSG00000197057
NWD2,NWD2,ENSG00000174145
C4orf19,NA,ENSG00000154274
RELL1,NA,ENSG00000181826
PGM2,NA,ENSG00000169299
TBC1D1,NA,ENSG00000065882
PTTG2,NA,ENSG00000250254
LINC01258,NA,ENSG00000249534
KLF3-AS1,NA,ENSG00000231160
KLF3,NA,ENSG00000109787
TLR10,NA,ENSG00000174123
TLR1,NA,ENSG00000174125
TLR6,NA,ENSG00000174130
FAM114A1,NA,ENSG00000197712
TMEM156,NA,ENSG00000121895
KLHL5,NA,ENSG00000109790
ENSG00000249207,NA,ENSG00000249207
ENSG00000249685,NA,ENSG00000249685
WDR19,NA,ENSG00000157796
RFC1,NA,ENSG00000035928
RPL9,RPL9,ENSG00000163682
LIAS,NA,ENSG00000121897
UGDH,NA,ENSG00000109814
UGDH-AS1,NA,ENSG00000249348
ENSG00000287262,NA,ENSG00000287262
SMIM14,NA,ENSG00000163683
SMIM14-DT,NA,ENSG00000255458
UBE2K,NA,ENSG00000078140
PDS5A,NA,ENSG00000121892
N4BP2,NA,ENSG00000078177
ENSG00000260296,NA,ENSG00000260296
RHOH,NA,ENSG00000168421
RBM47,RBM47,ENSG00000163694
ENSG00000287182,NA,ENSG00000287182
NSUN7,NA,ENSG00000179299
APBB2,NA,ENSG00000163697
UCHL1,NA,ENSG00000154277
LIMCH1,NA,ENSG00000064042
TMEM33,NA,ENSG00000109133
SLC30A9,NA,ENSG00000014824
BEND4,NA,ENSG00000188848
ENSG00000285454,NA,ENSG00000285454
ATP8A1,NA,ENSG00000124406
ENSG00000286891,NA,ENSG00000286891
ENSG00000250863,NA,ENSG00000250863
KCTD8,NA,ENSG00000183783
YIPF7,NA,ENSG00000177752
GUF1,NA,ENSG00000151806
GNPDA2,NA,ENSG00000163281
GABRG1,NA,ENSG00000163285
GABRA2,GABRA2,ENSG00000151834
ENSG00000249330,NA,ENSG00000249330
GABRA4,NA,ENSG00000109158
GABRB1,GABRB1,ENSG00000163288
ENSG00000260918,NA,ENSG00000260918
COMMD8,NA,ENSG00000169019
ATP10D,NA,ENSG00000145246
CORIN,NA,ENSG00000145244
ENSG00000259959,NA,ENSG00000259959
NFXL1,NA,ENSG00000170448
NIPAL1,NA,ENSG00000163293
CNGA1,NA,ENSG00000198515
TXK,NA,ENSG00000074966
TEC,NA,ENSG00000135605
SLAIN2,NA,ENSG00000109171
FRYL,NA,ENSG00000075539
OCIAD1,NA,ENSG00000109180
OCIAD2,NA,ENSG00000145247
DCUN1D4,NA,ENSG00000109184
LRRC66,NA,ENSG00000188993
SGCB,NA,ENSG00000163069
ENSG00000287999,NA,ENSG00000287999
USP46,NA,ENSG00000109189
USP46-DT,NA,ENSG00000248866
DANCR,NA,ENSG00000226950
LINC01618,NA,ENSG00000250302
ERVMER34-1,NA,ENSG00000226887
SCFD2,NA,ENSG00000184178
FIP1L1,NA,ENSG00000145216
LNX1,NA,ENSG00000072201
CHIC2,NA,ENSG00000109220
PDGFRA,PDGFRA,ENSG00000134853
LINC02283,LINC02283,ENSG00000248184
KIT,NA,ENSG00000157404
KDR,NA,ENSG00000128052
SRD5A3,NA,ENSG00000128039
SRD5A3-AS1,NA,ENSG00000249700
LINC02928,NA,ENSG00000273257
TMEM165,NA,ENSG00000134851
CLOCK,NA,ENSG00000134852
PDCL2,NA,ENSG00000163440
NMU,NA,ENSG00000109255
EXOC1,NA,ENSG00000090989
ENSG00000287382,NA,ENSG00000287382
CEP135,NA,ENSG00000174799
CRACD,NA,ENSG00000109265
AASDH,NA,ENSG00000157426
PPAT,NA,ENSG00000128059
ENSG00000290817,NA,ENSG00000290817
PAICS,NA,ENSG00000128050
ENSG00000289393,NA,ENSG00000289393
SRP72,NA,ENSG00000174780
ARL9,NA,ENSG00000196503
HOPX,NA,ENSG00000171476
REST,NA,ENSG00000084093
NOA1,NA,ENSG00000084092
POLR2B,NA,ENSG00000047315
IGFBP7,NA,ENSG00000163453
IGFBP7-AS1,NA,ENSG00000245067
ADGRL3,NA,ENSG00000150471
ENSG00000205682,NA,ENSG00000205682
LINC02232,LINC02232,ENSG00000250125
EPHA5,NA,ENSG00000145242
EPHA5-AS1,NA,ENSG00000250846
ENSG00000248479,NA,ENSG00000248479
ENSG00000287383,ENSG00000287383,ENSG00000287383
ENSG00000250075,NA,ENSG00000250075
CENPC,NA,ENSG00000145241
STAP1,NA,ENSG00000035720
UBA6,NA,ENSG00000033178
UBA6-DT,NA,ENSG00000248049
YTHDC1,NA,ENSG00000083896
SULT1B1,NA,ENSG00000173597
UTP3,NA,ENSG00000132467
RUFY3,NA,ENSG00000018189
GRSF1,NA,ENSG00000132463
MOB1B,NA,ENSG00000173542
DCK,NA,ENSG00000156136
SLC4A4,SLC4A4,ENSG00000080493
NPFFR2,NA,ENSG00000056291
ADAMTS3,NA,ENSG00000156140
COX18,NA,ENSG00000163626
ANKRD17,NA,ENSG00000132466
ANKRD17-DT,NA,ENSG00000250220
CXCL2,NA,ENSG00000081041
MTHFD2L,NA,ENSG00000163738
EREG,NA,ENSG00000124882
BTC,NA,ENSG00000174808
PARM1,NA,ENSG00000169116
ENSG00000251185,NA,ENSG00000251185
ENSG00000248646,NA,ENSG00000248646
RCHY1,NA,ENSG00000163743
THAP6,NA,ENSG00000174796
CDKL2,NA,ENSG00000138769
G3BP2,NA,ENSG00000138757
USO1,NA,ENSG00000138768
ENSG00000229717,NA,ENSG00000229717
NAAA,NA,ENSG00000138744
SDAD1,NA,ENSG00000198301
ART3,NA,ENSG00000156219
NUP54,NA,ENSG00000138750
ENSG00000286074,NA,ENSG00000286074
SCARB2,NA,ENSG00000138760
FAM47E,NA,ENSG00000189157
ENSG00000287401,NA,ENSG00000287401
CCDC158,NA,ENSG00000163749
SHROOM3,NA,ENSG00000138771
SHROOM3-AS1,NA,ENSG00000233860
ENSG00000289586,NA,ENSG00000289586
SEPTIN11,NA,ENSG00000138758
CCNI,NA,ENSG00000118816
ENSG00000289496,NA,ENSG00000289496
CCNG2,NA,ENSG00000138764
CXCL13,NA,ENSG00000156234
CNOT6L,NA,ENSG00000138767
MRPL1,NA,ENSG00000169288
FRAS1,FRAS1,ENSG00000138759
ANXA3,NA,ENSG00000138772
LINC01094,NA,ENSG00000251442
BMP2K,NA,ENSG00000138756
PAQR3,NA,ENSG00000163291
LINC01088,LINC01088,ENSG00000249307
ANTXR2,NA,ENSG00000163297
PRDM8-AS1,NA,ENSG00000248719
PRDM8,NA,ENSG00000152784
CFAP299,CFAP299,ENSG00000197826
PRKG2,NA,ENSG00000138669
RASGEF1B,RASGEF1B,ENSG00000138670
ENSG00000273156,NA,ENSG00000273156
ENSG00000289480,NA,ENSG00000289480
HNRNPD,NA,ENSG00000138668
HNRNPD-DT,NA,ENSG00000272677
HNRNPDL,NA,ENSG00000152795
ENOPH1,NA,ENSG00000145293
TMEM150C,NA,ENSG00000249242
SCD5,NA,ENSG00000145284
SEC31A,NA,ENSG00000138674
THAP9-AS1,NA,ENSG00000251022
THAP9,NA,ENSG00000168152
LIN54,NA,ENSG00000189308
COPS4,NA,ENSG00000138663
ENSG00000286035,NA,ENSG00000286035
PLAC8,NA,ENSG00000145287
ENSG00000250057,NA,ENSG00000250057
COQ2,NA,ENSG00000173085
HPSE,NA,ENSG00000173083
HELQ,NA,ENSG00000163312
MRPS18C,NA,ENSG00000163319
ABRAXAS1,NA,ENSG00000163322
GPAT3,NA,ENSG00000138678
LINC02994,NA,ENSG00000250546
NKX6-1,NA,ENSG00000163623
CDS1,NA,ENSG00000163624
WDFY3,NA,ENSG00000163625
WDFY3-AS2,NA,ENSG00000180769
ARHGAP24,ARHGAP24,ENSG00000138639
MAPK10,NA,ENSG00000109339
MAPK10-AS1,NA,ENSG00000250062
PTPN13,NA,ENSG00000163629
ENSG00000284968,NA,ENSG00000284968
AFF1,NA,ENSG00000172493
KLHL8,NA,ENSG00000145332
HSD17B11,NA,ENSG00000198189
NUDT9,NA,ENSG00000170502
SPARCL1,SPARCL1,ENSG00000152583
ENSG00000286618,NA,ENSG00000286618
SPP1,SPP1,ENSG00000118785
PKD2,NA,ENSG00000118762
ABCG2,ABCG2,ENSG00000118777
PPM1K,NA,ENSG00000163644
PPM1K-DT,NA,ENSG00000246375
HERC6,NA,ENSG00000138642
HERC5,NA,ENSG00000138646
HERC3,NA,ENSG00000138641
NAP1L5,NA,ENSG00000177432
FAM13A-AS1,NA,ENSG00000248019
FAM13A,NA,ENSG00000138640
TIGD2,NA,ENSG00000180346
GPRIN3,NA,ENSG00000185477
ENSG00000251095,NA,ENSG00000251095
ENSG00000288563,NA,ENSG00000288563
SNCA,NA,ENSG00000145335
MMRN1,NA,ENSG00000138722
CCSER1,CCSER1,ENSG00000184305
GRID2,GRID2,ENSG00000152208
SMARCAD1,NA,ENSG00000163104
HPGDS,NA,ENSG00000163106
PDLIM5,NA,ENSG00000163110
BMPR1B,BMPR1B,ENSG00000138696
UNC5C,NA,ENSG00000182168
LINC02267,NA,ENSG00000248510
STPG2,NA,ENSG00000163116
